level_1_name,level_1_id,level_2_name,level_2_id,level_3_name,level_3_id,level_4_name,level_4_id,level_5_name,level_5_id
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,PAIX CENTRE DE SANTE,P8KWNTIomEu
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,PERSEVERANCE CENTRE DE SANTE,CMN1E2oiBlr
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,PROMESSE CENTRE DE SANTE,C7S30fXr06s
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,VIE CENTRE DE SANTE,MpKy4FQv2bF
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,HEWA BORA 1,tgjR3sAFtRr,VOLONTE DE DIEU CENTRE DE SANTE,PUlLBoXoLd4
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,KAPAK,GoTt66p5KoD,VIE POSTE DE SANTE,loNTnXkXHCH
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA,C0vQGRcoMSU,LE JOURDAIN CENTRE DE SANTE,KJNseSE2GH3
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,HGR MWANGEJI,xxqm0dbkegx,LE JOURDAIN CENTRE DE SANTE,r9Ijf915Ltr
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,ROCHER,mgzgb0SPtDP,LE ROCHER CENTRE DE SANTE,J1C0BFUMVOE
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,PHILIPPE,HT87Iw2sRb5,LE ROCHER CENTRE DE SANTE,xmR2823FMck
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHALA 3,b1eLiXP6J2l,LUPANDILO CENTRE DE SANTE,w3RkECqQr7t
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,HEWA BORA 1,tgjR3sAFtRr,MAENDELEO CENTRE DE SANTE,DYQggg50Ydh
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SEP CONGO,u1ESQWWtCFn,MAIN DE L'ETERNEL CENTRE DE SANTE,FKcR1TQSvmk
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA 2,KRUnd2jwVQ3,MANTUZO BORA CENTRE DE SANTE,b7moYCIEgC7
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,GOLF,ayw3ihe7GBJ,MARANATHA CENTRE DE SANTE,ZuaYdcgEuz3
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA,C0vQGRcoMSU,MARIA MAMAN CENTRE DE SANTE,s0uMmKY8jCF
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MUSAMBU,YGe3WeHPFJ5,MBAJ POSTE DE SANTE,aS6bMEPLO8j
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,MELIEMA CENTRE DE SANTE,fBrsaotA9yU
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SERADJA,ZgSXN4f8ZwV,METALKOL CENTRE DE SANTE,Nic3spCvb03
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MOISE TSHOMBE,FB6xAtHUGES,MISSION POSSIBLE CENTRE DE SANTE,Y2Zno48cVsM
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,RONY,OkZQdRC1TBr,MONGOJ POSTE DE SANTE,E0hUlDtNLU7
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA,C0vQGRcoMSU,MPALA CENTRE DE SANTE,JHb9XL1K0oY
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,RIZ KAYAN,V5wNMHBYbIR,MUKANGWEJ POSTE DE SANTE,J1ynHUud82y
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MOISE TSHOMBE,FB6xAtHUGES,MUPANDISH CENTRE DE SANTE,VHVXcK6E9IW
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,MUTOSHI MEDICAL CENTRE DE SANTE,B3AS5QyndZ6
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,NORD KATANGA,i7N02AgTRS7,MUZKO CENTRE DE SANTE,UNNNig0Ds6k
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,RUUNG,oNPI8BEY4dK,MWANDJ POSTE DE SANTE,Ro17Gulbwsa
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWANT CHINAN,Kvhp7RAIr4B,MWANT CHANGUL POSTE DE SANTE,tDjK714PzdU
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,RONY,OkZQdRC1TBr,MWANT ITAJ POSTE DE SANTE,TpXovwQIvac
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWANT A NGAND,nRZTlAV5dFr,MWANT KANDAL POSTE DE SANTE,Q9woJSZLh7f
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,ROCHER,mgzgb0SPtDP,MY LIFE CENTRE DE SANTE,kQSNaHMpMDH
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,POLY. MODERNE,kwAbVw5kcPM,MERE DU DIVIN SAUVEUR CENTRE DE SANTE,SCZaLttsHEZ
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,NADIA CENTRE DE SANTE,bKYZpRect8M
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,HEWA BORA 1,tgjR3sAFtRr,NEIGE CENTRE DE SANTE,eJlGRyCf48t
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,KAMWANGA,JepxoqZSfhc,NSUN POSTE DE SANTE,D42U9gQzPOF
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,KANTALA,dnN40xywzHQ,POUR TOUS CENTRE DE SANTE,sq1p5QWyAFy
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,PRODIGES CENTRE DE SANTE,Vqs9u3QFuvh
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,NAMBAZ,zbQONqnDSHb,RAPHAEL CLINIQUE,MScD63uGoO8
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,RAPHAEL CENTRE DE SANTE,Ehoop4jEDqA
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,BOULANGER,cZo43SZZPkd,REHOBOTH CENTRE DE SANTE,pCadBDtYeEN
